"Marca temporal","Que mazos vas a jugar en OP15? (multiple)","Ahora escoge solo uno!"
"2026/03/04 11:40:01 a. m. CET","Doflamingo P","Doflamingo P"
"2026/03/04 11:40:29 a. m. CET","Boa UY;Mihawk G;Luffy UP;Nami UY","Nami UY"
"2026/03/04 11:40:52 a. m. CET","Imu B;Brook GB;Enel P","Imu B"
"2026/03/04 11:41:58 a. m. CET","Luffy UP;Sanji UP;Lucy RU","Lucy RU"
"2026/03/04 11:42:12 a. m. CET","Enel Y;Luffy Y;Enel P","Enel Y"
"2026/03/04 11:42:39 a. m. CET","Sanji UP;Foxy P;Jinbei G;Katakuri P","Sanji PU"
"2026/03/04 11:42:54 a. m. CET","Doflamingo P;Law R;Vegapunk Y;Law GY;Lucci B;Brook GB","Brook GB"
"2026/03/04 11:45:58 a. m. CET","Doflamingo P;Roger RP;Luffy BP","Doflamingo P"
"2026/03/04 11:47:21 a. m. CET","Enel Y;Luffy Y OP15","Enel Y"
"2026/03/04 11:48:41 a. m. CET","Luffy RG;Bonney G","Luffy RG"
"2026/03/04 11:57:29 a. m. CET","Luffy BP;Brook GB;Enel P","Luffy BP"
"2026/03/04 11:59:41 a. m. CET","Sabo RB OP13;Enel P;Lucy RU","Lucy RU"
"2026/03/04 12:04:09 p. m. CET","Carrot G;Nami UY;Nami U P;Brook GB","Brook GB"
"2026/03/04 12:14:28 p. m. CET","Roger RP;Bonney RY","Roger RP"
"2026/03/04 12:15:38 p. m. CET","Crocodile B;Koala BY;Caesar Clown RU;Enel P;Don Krieg RG","Koala BY"
"2026/03/04 12:18:20 p. m. CET","Sanji UP;Foxy P","Sanji PU"
"2026/03/04 12:18:57 p. m. CET","Crocodile B;Sabo RB OP13;Vegapunk Y;Enel P;Rebecca U","Crocodile B"
"2026/03/04 12:21:11 p. m. CET","Mihawk G;Luffy RG;Enel P;Bonney RY","Luffy RG"
"2026/03/04 12:26:35 p. m. CET","Imu B;Nami UY;Lucy RU;Rosinante PY","Lucy RU"
"2026/03/04 12:29:24 p. m. CET","Boa UY;Kuzan U;Luffy GP;Boa U","Luffy GP"
"2026/03/04 12:33:30 p. m. CET","Mihawk G","Mihawk G"
"2026/03/04 12:38:05 p. m. CET","Sabo RB OP13","Sabo RB"
"2026/03/04 12:39:11 p. m. CET","Imu B;Yamato GY;Luffy BP;Enel P","Imu B"
"2026/03/04 12:46:50 p. m. CET","Mihawk G;Brook GB;Don Krieg RG","Don Krieg RG"
"2026/03/04 2:12:39 p. m. CET","Moria BY;Enel P;Don Krieg RG","Moria BY"
"2026/03/05 9:10:10 a. m. CET","Sabo RB OP13;Kuzan U;Lucy RU","Lucy RU"
"2026/03/05 9:14:02 a. m. CET","Doflamingo P;Foxy P","Doflamingo P"
"2026/03/05 9:35:07 a. m. CET","Ace RU;Lucci B;Sanji UP;Nami UY","Lucy RU"
"2026/03/05 9:36:44 a. m. CET","Doflamingo P;Ace RU;Nami UY;Enel P;Bonney RY","Enel P"
"2026/03/05 9:42:19 a. m. CET","Crocodile B;Sabo RB OP13;Brook GB;Lucy RU;Rosinante PY","Lucy RU"
"2026/03/05 10:51:03 a. m. CET","Bonney G","Bonney G"
"2026/03/06 2:36:42 a. m. CET","Mihawk G;Bonney G","Mihawk G"
"2026/03/06 3:46:59 p. m. CET","Boa UY;Mihawk G;Ace RU;Imu B;Enel P;Don Krieg RG","Enel P"
"2026/03/09 10:08:17 a. m. CET","Mihawk G;Zoro G;Buggy U","Mihawk G"
"2026/03/09 10:10:08 a. m. CET","Moria BY;Rebecca U","Moria BY"
"2026/03/09 10:20:17 a. m. CET","Luffy Y;Enel P","Luffy Y"
"2026/03/09 11:20:58 p. m. CET","Imu B;Sabo RB OP13;Koby RB;Sanji UP;Luffy Y;Brook GB;Luffy Y OP15;Enel P","Enel P"
"2026/03/10 1:03:26 p. m. CET","Boa UY;Luffy Y OP15;Rosinante PY","Luffy Y OP15"
"2026/03/10 1:06:59 p. m. CET","Imu B;Enel P;Rebecca U;Lucy RU","Imu B"
"2026/03/10 1:29:30 p. m. CET","Enel P;Lucy RU","Lucy RU"
"2026/03/10 1:51:22 p. m. CET","Doflamingo P;Ace RU;Sabo RB OP13;Kuzan U;Don Krieg RG","Sabo RB"